degree , error ,
1 , 0.00 ,
2 , 0.00 ,
3 , 0.00 ,
4 , -0.00 ,
5 , -0.00 ,
6 , -0.00 ,
7 , 0.00 ,
8 , 0.00 ,
9 , -0.00 ,
10 , 0.00 ,
11 , 0.00 ,
12 , -0.00 ,
13 , 0.00 ,
14 , 0.00 ,
15 , -0.00 ,
16 , -0.00 ,
17 , -0.00 ,
18 , -0.00 ,
19 , -0.00 ,
20 , 0.00 ,
22 , 0.00 ,
24 , -0.00 ,
26 , 0.00 ,
28 , 0.00 ,
30 , 0.00 ,
33 , -0.00 ,
36 , -0.00 ,
39 , -0.00 ,
42 , -0.00 ,
46 , -0.00 ,
50 , -0.00 ,
55 , -0.00 ,
60 , -0.00 ,
66 , -0.00 ,
72 , -0.00 ,
79 , -0.00 ,
86 , -0.00 ,
94 , -0.00 ,
103 , -0.00 ,
113 , -0.00 ,
124 , -0.00 ,
136 , -0.00 ,
149 , -0.00 ,
163 , -0.00 ,
179 , -0.00 ,
196 , -0.00 ,
215 , NaN ,
236 , NaN ,
259 , NaN ,
284 , NaN ,
312 , NaN ,
343 , NaN ,
377 , NaN ,
414 , NaN ,
455 , NaN ,

