degree , time ,
1 , 1 ,
2 , 0 ,
3 , 1 ,
4 , 1 ,
5 , 1 ,
6 , 2 ,
7 , 2 ,
8 , 2 ,
9 , 2 ,
10 , 4 ,
11 , 4 ,
12 , 6 ,
13 , 7 ,
14 , 4 ,
15 , 5 ,
16 , 5 ,
17 , 5 ,
18 , 6 ,
19 , 9 ,
20 , 9 ,
22 , 7 ,
24 , 11 ,
26 , 16 ,
28 , 10 ,
30 , 16 ,
33 , 13 ,
36 , 10 ,
39 , 8 ,
42 , 9 ,
46 , 10 ,
50 , 10 ,
55 , 11 ,
60 , 12 ,
66 , 14 ,
72 , 16 ,
79 , 18 ,
86 , 19 ,
94 , 22 ,
103 , 24 ,
113 , 27 ,
124 , 30 ,
136 , 34 ,
149 , 38 ,
163 , 41 ,
179 , 46 ,
196 , 51 ,
215 , 56 ,
236 , 62 ,
259 , 70 ,
284 , 76 ,
312 , 84 ,
343 , 92 ,
377 , 99 ,
414 , 109 ,
455 , 118 ,

