degree , time ,
1 , 0 ,
2 , 0 ,
3 , 0 ,
4 , 0 ,
5 , 0 ,
6 , 0 ,
7 , 0 ,
8 , 0 ,
9 , 0 ,
10 , 1 ,
11 , 0 ,
12 , 0 ,
13 , 0 ,
14 , 0 ,
15 , 1 ,
16 , 0 ,
17 , 0 ,
18 , 1 ,
19 , 1 ,
20 , 0 ,
22 , 0 ,
24 , 1 ,
26 , 0 ,
28 , 1 ,
30 , 0 ,
33 , 1 ,
36 , 1 ,
39 , 1 ,
42 , 1 ,
46 , 2 ,
50 , 2 ,
55 , 5 ,
60 , 5 ,
66 , 2 ,
72 , 2 ,
79 , 3 ,
86 , 3 ,
94 , 4 ,
103 , 3 ,
113 , 5 ,
124 , 4 ,
136 , 7 ,
149 , 11 ,
163 , 7 ,
179 , 10 ,
196 , 11 ,
215 , 9 ,
236 , 10 ,
259 , 8 ,
284 , 8 ,
312 , 9 ,
343 , 10 ,
377 , 11 ,
414 , 12 ,
455 , 12 ,

