degree , error ,
1 , 0.00 ,
2 , -0.00 ,
3 , 0.01 ,
4 , 0.01 ,
5 , 0.00 ,
6 , 0.01 ,
7 , 0.01 ,
8 , -0.04 ,
9 , 0.02 ,
10 , -0.01 ,
11 , 0.01 ,
12 , 0.07 ,
13 , 0.01 ,
14 , -0.03 ,
15 , -0.00 ,
16 , -0.03 ,
17 , 0.01 ,
18 , -0.04 ,
19 , 0.01 ,
20 , 0.00 ,
22 , -0.01 ,
24 , -0.09 ,
26 , 0.09 ,
28 , -0.04 ,
30 , 0.01 ,
33 , 0.04 ,
36 , 0.01 ,
39 , 0.10 ,
42 , -0.03 ,
46 , 0.02 ,
50 , -0.07 ,
55 , 0.04 ,
60 , -0.08 ,
66 , -0.13 ,
72 , 0.08 ,
79 , 0.07 ,
86 , -0.00 ,
94 , 0.02 ,
103 , -0.06 ,
113 , -0.01 ,
124 , 0.01 ,
136 , 0.12 ,
149 , 0.12 ,
163 , NaN ,
179 , NaN ,
196 , NaN ,
215 , NaN ,
236 , NaN ,
259 , NaN ,
284 , NaN ,
312 , NaN ,
343 , NaN ,
377 , NaN ,
414 , NaN ,
455 , NaN ,

